Association,Unemployed,Student
ASA Current,70,65
ASA Proposed,50,65
AEA Current,70,35
AEA 2012,20,20
APSA,43,43
AAA,135,70
ASC,90,50
AStatA,150,15
AERA,150,40
PAA,112,45
AHA,46,40
