Status,ASA-Current,ASA-Proposed,AEA-2012,APSA,AAA,ASC,AStatA,AERA,PAA,AHA
Unemployed,70,50,20,43,135,90,150,150,112,46
Student,70,80,20,43,70,50 or 90,15,40,45,40
